title,price,rating,availability,date
Apple iPhone 14 (128 GB) - Blue,"69,999",4.5,In stock,2023-05-21
Apple iPhone 13 (128GB) - (Product) RED,"62,999",4.6,In stock,2023-05-21
Apple iPhone 14 (128 GB) - Midnight,"69,999",4.5,In stock,2023-05-21
Apple iPhone 14 (128 GB) - Starlight,"69,999",4.5,In stock,2023-05-21
Apple iPhone 14 (128 GB) - Blue,"69,999",4.5,In stock,2023-05-21
Apple iPhone 14 (128 GB) - Purple,"69,999",4.5,In stock,2023-05-21
Apple iPhone 14 (128 GB) - Yellow,"69,999",4.5,In stock,2023-05-21
Apple iPhone 14 (256 GB) - Starlight,"79,999",4.5,In stock,2023-05-21
Apple iPhone 14 (256 GB) - Yellow,"79,999",4.5,In stock,2023-05-21
Apple iPhone 14 (128 GB) - (Product) RED,"69,999",4.5,In stock,2023-05-21
Apple iPhone 14 (256 GB) - Blue,"79,999",4.5,Not_avalaible,2023-05-21
Apple iPhone 14 (256 GB) - Purple,"79,999",4.5,In stock,2023-05-21
Apple iPhone 14 (512 GB) - Starlight,"97,999",4.5,In stock,2023-05-21
Apple iPhone 14 (512 GB) - Blue,"97,999",4.5,In stock,2023-05-21
Apple iPhone 14 (256 GB) - Midnight,"79,999",4.5,In stock,2023-05-21
Apple iPhone 14 (256 GB) - (Product) RED,"79,999",4.5,In stock,2023-05-21
Apple iPhone 14 (512 GB) - Midnight,"97,999",4.5,In stock,2023-05-21
Apple iPhone 14 (512 GB) - Purple,"97,999",4.5,In stock,2023-05-21
